ID_пользователя,Дата_посещения_сайта,День_недели,Месяц,Наименование_событий,Наименование_страницы,Выручка,Средняя_выручка
10,2024-01-01 21:38:11,Monday,1,purchase,cart,707.14,508.5220910189287
11,2024-01-08 05:05:00,Monday,1,view,search,,
11,2024-01-08 05:05:46,Monday,1,click,pdp,,
11,2024-01-15 07:42:00,Monday,1,view,recommendations,,
12,2024-01-10 16:27:00,Wednesday,1,view,catalog,,
12,2024-01-10 16:27:29,Wednesday,1,add,catalog,,
12,2024-01-10 16:27:30,Wednesday,1,view,cart,,
12,2024-01-10 16:27:52,Wednesday,1,purchase,cart,668.97,508.5220910189287
12,2024-01-22 22:56:00,Monday,1,add,catalog,,
12,2024-01-10 19:56:00,Wednesday,1,view,catalog,,
12,2024-01-10 19:56:52,Wednesday,1,add,catalog,,
12,2024-01-10 19:57:10,Wednesday,1,view,cart,,
12,2024-01-10 19:57:38,Wednesday,1,purchase,cart,696.22,508.5220910189287
12,2024-01-27 11:58:00,Saturday,1,view,main_page,,
12,2024-01-27 11:58:07,Saturday,1,click,pdp,,
12,2024-01-27 11:58:36,Saturday,1,add,pdp,,
12,2024-01-27 11:58:54,Saturday,1,view,cart,,
12,2024-01-27 11:59:02,Saturday,1,purchase,cart,523.12,508.5220910189287
12,2024-01-17 19:53:00,Wednesday,1,view,main_page,,
12,2024-01-17 19:53:40,Wednesday,1,click,pdp,,
12,2024-01-17 19:54:03,Wednesday,1,add,pdp,,
12,2024-01-17 19:54:22,Wednesday,1,view,cart,,
12,2024-01-17 19:54:53,Wednesday,1,purchase,cart,820.89,508.5220910189287
13,2024-01-08 18:17:00,Monday,1,view,catalog,,
13,2024-01-08 18:17:50,Monday,1,click,pdp,,
13,2024-01-04 00:07:00,Thursday,1,view,catalog,,
13,2024-01-04 00:07:32,Thursday,1,add,recommendations,,
13,2024-01-04 00:07:33,Thursday,1,view,cart,,
13,2024-01-04 00:08:02,Thursday,1,purchase,cart,332.66,508.5220910189287
13,2024-01-29 07:00:00,Monday,1,view,recommendations,,
13,2024-01-29 07:00:23,Monday,1,click,pdp,,
13,2024-01-29 07:00:38,Monday,1,add,pdp,,
13,2024-01-29 07:00:57,Monday,1,view,cart,,
13,2024-01-29 07:01:06,Monday,1,purchase,cart,516.97,508.5220910189287
13,2024-01-20 04:53:00,Saturday,1,view,catalog,,
13,2024-01-20 04:53:48,Saturday,1,click,pdp,,
14,2024-01-29 17:01:00,Monday,1,add,catalog,,
14,2024-01-05 05:29:00,Friday,1,view,recommendations,,
14,2024-01-22 11:23:00,Monday,1,click,pdp,,
14,2024-01-22 11:23:17,Monday,1,add,pdp,,
14,2024-01-22 11:23:34,Monday,1,view,cart,,
14,2024-01-22 11:23:37,Monday,1,purchase,cart,206.72,508.5220910189287
14,2024-01-09 21:21:00,Tuesday,1,view,search,,
14,2024-01-02 22:36:00,Tuesday,1,click,pdp,,
14,2024-01-02 22:36:06,Tuesday,1,add,pdp,,
14,2024-01-02 22:36:11,Tuesday,1,view,cart,,
14,2024-01-02 22:36:24,Tuesday,1,purchase,cart,441.48,508.5220910189287
15,2024-01-06 07:33:00,Saturday,1,view,main_page,,
15,2024-01-06 07:33:07,Saturday,1,click,pdp,,
15,2024-01-14 01:53:00,Sunday,1,view,main_page,,
15,2024-01-29 20:10:00,Monday,1,view,recommendations,,
15,2024-01-08 02:53:00,Monday,1,view,recommendations,,
15,2024-01-08 02:53:54,Monday,1,click,pdp,,
15,2024-01-08 02:53:58,Monday,1,add,pdp,,
15,2024-01-08 02:54:17,Monday,1,view,cart,,
15,2024-01-08 02:54:35,Monday,1,purchase,cart,87.54,508.5220910189287
15,2024-01-11 01:08:00,Thursday,1,view,main_page,,
15,2024-01-11 01:08:09,Thursday,1,click,pdp,,
15,2024-01-11 01:08:20,Thursday,1,add,pdp,,
15,2024-01-11 01:08:27,Thursday,1,view,cart,,
15,2024-01-11 01:09:05,Thursday,1,purchase,cart,13.52,508.5220910189287
16,2024-01-25 22:48:00,Thursday,1,view,recommendations,,
17,2024-01-12 14:58:00,Friday,1,view,search,,
17,2024-01-12 14:58:47,Friday,1,add,catalog,,
17,2024-01-12 14:58:54,Friday,1,view,cart,,
17,2024-01-12 14:59:02,Friday,1,purchase,cart,176.04,508.5220910189287
17,2024-01-08 17:58:00,Monday,1,view,catalog,,
17,2024-01-08 17:58:30,Monday,1,click,pdp,,
17,2024-01-14 23:34:00,Sunday,1,view,search,,
17,2024-01-14 23:34:03,Sunday,1,click,pdp,,
17,2024-01-14 23:34:26,Sunday,1,add,pdp,,
17,2024-01-04 21:24:00,Thursday,1,view,recommendations,,
17,2024-01-04 21:24:45,Thursday,1,click,pdp,,
18,2024-01-13 17:31:00,Saturday,1,view,search,,
18,2024-01-13 17:31:52,Saturday,1,click,pdp,,
18,2024-01-13 17:32:13,Saturday,1,add,pdp,,
18,2024-01-15 09:29:00,Monday,1,view,recommendations,,
18,2024-01-17 02:44:00,Wednesday,1,view,search,,
19,2024-01-01 20:45:00,Monday,1,view,main_page,,
19,2024-01-01 20:45:57,Monday,1,add,pdp,,
19,2024-01-01 20:46:02,Monday,1,view,cart,,
19,2024-01-01 20:46:09,Monday,1,purchase,cart,1159.61,508.5220910189287
19,2024-01-04 07:19:00,Thursday,1,view,main_page,,
19,2024-01-04 07:19:51,Thursday,1,click,pdp,,
19,2024-01-04 07:20:16,Thursday,1,add,pdp,,
19,2024-01-04 07:20:33,Thursday,1,view,cart,,
19,2024-01-04 07:20:40,Thursday,1,purchase,cart,285.96,508.5220910189287
19,2024-01-29 09:34:00,Monday,1,view,main_page,,
20,2024-01-11 08:55:00,Thursday,1,view,main_page,,
20,2024-01-11 08:55:09,Thursday,1,add,pdp,,
20,2024-01-11 08:55:24,Thursday,1,view,cart,,
20,2024-01-11 08:55:30,Thursday,1,purchase,cart,275.22,508.5220910189287
20,2024-01-24 14:37:00,Wednesday,1,view,recommendations,,
20,2024-01-24 14:37:26,Wednesday,1,click,pdp,,
21,2024-01-08 12:31:00,Monday,1,add,catalog,,
21,2024-01-08 12:31:13,Monday,1,view,cart,,
21,2024-01-08 12:31:20,Monday,1,purchase,cart,449.54,508.5220910189287
21,2024-01-08 00:58:00,Monday,1,view,main_page,,
21,2024-01-08 00:58:43,Monday,1,add,catalog,,
21,2024-01-08 00:58:49,Monday,1,view,cart,,
21,2024-01-08 00:58:55,Monday,1,purchase,cart,400.62,508.5220910189287
21,2024-01-25 18:30:00,Thursday,1,view,recommendations,,
21,2024-01-25 18:30:43,Thursday,1,click,pdp,,
21,2024-01-25 18:30:47,Thursday,1,add,pdp,,
21,2024-01-25 18:31:00,Thursday,1,view,cart,,
21,2024-01-25 18:31:03,Thursday,1,purchase,cart,628.84,508.5220910189287
21,2024-01-27 16:40:00,Saturday,1,view,search,,
21,2024-01-16 05:18:00,Tuesday,1,view,recommendations,,
21,2024-01-16 05:18:34,Tuesday,1,click,pdp,,
21,2024-01-16 05:18:39,Tuesday,1,add,pdp,,
21,2024-01-16 05:18:43,Tuesday,1,view,cart,,
21,2024-01-16 05:19:20,Tuesday,1,purchase,cart,274.67,508.5220910189287
22,2024-01-17 09:53:00,Wednesday,1,view,recommendations,,
23,2024-01-27 02:51:00,Saturday,1,view,main_page,,
23,2024-01-15 14:31:00,Monday,1,view,catalog,,
23,2024-01-15 14:31:26,Monday,1,add,pdp,,
23,2024-01-15 14:31:29,Monday,1,view,cart,,
23,2024-01-15 14:31:45,Monday,1,purchase,cart,281.21,508.5220910189287
23,2024-01-11 19:31:00,Thursday,1,view,recommendations,,
23,2024-01-11 19:31:22,Thursday,1,add,recommendations,,
23,2024-01-11 19:31:37,Thursday,1,view,cart,,
23,2024-01-11 19:31:58,Thursday,1,purchase,cart,331.48,508.5220910189287
23,2024-01-05 02:58:00,Friday,1,view,search,,
23,2024-01-03 16:24:00,Wednesday,1,view,catalog,,
23,2024-01-03 16:24:44,Wednesday,1,click,pdp,,
24,2024-01-27 13:49:00,Saturday,1,view,main_page,,
24,2024-01-27 13:49:44,Saturday,1,add,recommendations,,
24,2024-01-27 13:49:58,Saturday,1,view,cart,,
24,2024-01-27 13:50:29,Saturday,1,purchase,cart,592.01,508.5220910189287
24,2024-01-30 11:19:00,Tuesday,1,view,recommendations,,
24,2024-01-30 11:19:57,Tuesday,1,click,pdp,,
24,2024-01-30 11:20:18,Tuesday,1,add,pdp,,
24,2024-01-30 11:20:26,Tuesday,1,view,cart,,
24,2024-01-30 11:20:40,Tuesday,1,purchase,cart,199.5,508.5220910189287
24,2024-01-18 17:45:00,Thursday,1,view,recommendations,,
24,2024-01-18 17:45:11,Thursday,1,add,pdp,,
24,2024-01-18 17:45:19,Thursday,1,view,cart,,
24,2024-01-18 17:45:44,Thursday,1,purchase,cart,252.08,508.5220910189287
24,2024-01-25 13:31:00,Thursday,1,view,search,,
24,2024-01-10 07:31:00,Wednesday,1,view,search,,
24,2024-01-10 07:31:33,Wednesday,1,click,pdp,,
24,2024-01-10 07:31:46,Wednesday,1,add,pdp,,
24,2024-01-10 07:31:53,Wednesday,1,view,cart,,
24,2024-01-10 07:32:20,Wednesday,1,purchase,cart,135.93,508.5220910189287
25,2024-01-12 16:39:00,Friday,1,view,catalog,,
25,2024-01-12 16:39:06,Friday,1,click,pdp,,
25,2024-01-08 07:49:00,Monday,1,click,pdp,,
26,2024-01-22 02:40:00,Monday,1,view,catalog,,
26,2024-01-22 02:40:18,Monday,1,add,pdp,,
26,2024-01-22 02:40:31,Monday,1,view,cart,,
26,2024-01-22 02:40:51,Monday,1,purchase,cart,871.7,508.5220910189287
26,2024-01-13 07:28:00,Saturday,1,view,recommendations,,
26,2024-01-13 07:28:51,Saturday,1,add,search,,
26,2024-01-09 02:27:00,Tuesday,1,view,main_page,,
26,2024-01-09 02:27:29,Tuesday,1,click,pdp,,
26,2024-01-09 02:27:41,Tuesday,1,add,pdp,,
26,2024-01-09 02:27:46,Tuesday,1,view,cart,,
26,2024-01-09 02:28:07,Tuesday,1,purchase,cart,110.67,508.5220910189287
26,2024-01-17 18:31:00,Wednesday,1,view,main_page,,
26,2024-01-17 18:31:34,Wednesday,1,click,pdp,,
26,2024-01-17 18:31:38,Wednesday,1,add,pdp,,
27,2024-01-12 02:44:00,Friday,1,view,catalog,,
27,2024-01-12 02:44:33,Friday,1,click,pdp,,
27,2024-01-14 13:01:00,Sunday,1,view,search,,
27,2024-01-14 13:01:45,Sunday,1,click,pdp,,
27,2024-01-14 13:01:59,Sunday,1,add,pdp,,
27,2024-01-14 13:02:01,Sunday,1,view,cart,,
27,2024-01-14 13:02:19,Sunday,1,purchase,cart,668.56,508.5220910189287
28,2024-01-05 04:00:00,Friday,1,view,recommendations,,
28,2024-01-05 04:00:45,Friday,1,click,pdp,,
28,2024-01-05 04:00:48,Friday,1,add,pdp,,
28,2024-01-05 04:01:04,Friday,1,view,cart,,
28,2024-01-05 04:01:15,Friday,1,purchase,cart,502.85,508.5220910189287
28,2024-01-01 04:19:00,Monday,1,view,main_page,,
28,2024-01-01 04:19:57,Monday,1,click,pdp,,
28,2024-01-28 14:14:00,Sunday,1,view,main_page,,
28,2024-01-28 14:14:20,Sunday,1,click,pdp,,
29,2024-01-03 05:36:00,Wednesday,1,view,main_page,,
29,2024-01-03 05:36:49,Wednesday,1,click,pdp,,
29,2024-01-03 05:37:10,Wednesday,1,add,pdp,,
29,2024-01-03 05:37:21,Wednesday,1,view,cart,,
29,2024-01-03 05:37:47,Wednesday,1,purchase,cart,1024.2,508.5220910189287
29,2024-01-07 23:46:00,Sunday,1,view,recommendations,,
29,2024-01-07 23:46:38,Sunday,1,click,pdp,,
29,2024-01-10 22:07:00,Wednesday,1,view,catalog,,
29,2024-01-10 22:07:08,Wednesday,1,add,search,,
29,2024-01-10 22:07:23,Wednesday,1,view,cart,,
29,2024-01-10 22:07:50,Wednesday,1,purchase,cart,560.26,508.5220910189287
29,2024-01-18 17:16:00,Thursday,1,click,pdp,,
29,2024-01-01 00:18:00,Monday,1,click,pdp,,
29,2024-01-01 00:18:28,Monday,1,add,pdp,,
29,2024-01-01 00:18:34,Monday,1,view,cart,,
29,2024-01-01 00:19:08,Monday,1,purchase,cart,379.61,508.5220910189287
30,2024-01-13 08:10:00,Saturday,1,view,search,,
30,2024-01-19 05:33:00,Friday,1,add,recommendations,,
30,2024-01-19 05:33:07,Friday,1,view,cart,,
30,2024-01-19 05:33:23,Friday,1,purchase,cart,991.12,508.5220910189287
30,2024-01-07 14:20:00,Sunday,1,view,main_page,,
30,2024-01-07 14:20:33,Sunday,1,click,pdp,,
30,2024-01-07 14:20:39,Sunday,1,add,pdp,,
30,2024-01-07 14:20:42,Sunday,1,view,cart,,
30,2024-01-07 14:20:57,Sunday,1,purchase,cart,615.92,508.5220910189287
30,2024-01-28 20:28:00,Sunday,1,view,main_page,,
30,2024-01-28 20:28:34,Sunday,1,click,pdp,,
30,2024-01-28 20:28:49,Sunday,1,add,pdp,,
31,2024-01-13 20:22:00,Saturday,1,view,catalog,,
31,2024-01-25 03:10:00,Thursday,1,view,main_page,,
31,2024-01-25 03:10:13,Thursday,1,click,pdp,,
31,2024-01-25 03:10:17,Thursday,1,add,pdp,,
31,2024-01-25 03:10:31,Thursday,1,view,cart,,
31,2024-01-25 03:11:00,Thursday,1,purchase,cart,604.24,508.5220910189287
31,2024-01-10 03:29:00,Wednesday,1,view,main_page,,
31,2024-01-30 10:06:00,Tuesday,1,view,main_page,,
32,2024-01-10 23:35:00,Wednesday,1,view,catalog,,
32,2024-01-10 23:35:54,Wednesday,1,click,pdp,,
33,2024-01-09 08:14:00,Tuesday,1,view,main_page,,
33,2024-01-16 16:25:00,Tuesday,1,view,search,,
33,2024-01-28 06:09:00,Sunday,1,view,recommendations,,
33,2024-01-28 06:09:10,Sunday,1,click,pdp,,
33,2024-01-02 00:54:00,Tuesday,1,view,recommendations,,
33,2024-01-02 00:54:37,Tuesday,1,click,pdp,,
33,2024-01-02 00:54:48,Tuesday,1,add,pdp,,
33,2024-01-02 00:55:02,Tuesday,1,view,cart,,
33,2024-01-02 00:55:28,Tuesday,1,purchase,cart,1186.79,508.5220910189287
33,2024-01-07 20:17:00,Sunday,1,view,main_page,,
34,2024-01-28 13:18:00,Sunday,1,view,search,,
34,2024-01-28 13:18:32,Sunday,1,click,pdp,,
34,2024-01-03 08:07:00,Wednesday,1,view,main_page,,
34,2024-01-03 08:07:39,Wednesday,1,add,recommendations,,
34,2024-01-03 08:07:44,Wednesday,1,view,cart,,
34,2024-01-03 08:08:17,Wednesday,1,purchase,cart,560.07,508.5220910189287
34,2024-01-08 17:02:00,Monday,1,view,search,,
34,2024-01-08 17:02:03,Monday,1,add,search,,
34,2024-01-08 17:02:09,Monday,1,view,cart,,
34,2024-01-08 17:02:44,Monday,1,purchase,cart,504.57,508.5220910189287
35,2024-01-05 12:28:00,Friday,1,view,recommendations,,
35,2024-01-05 12:28:42,Friday,1,add,recommendations,,
35,2024-01-05 12:28:59,Friday,1,view,cart,,
35,2024-01-05 12:29:08,Friday,1,purchase,cart,905.02,508.5220910189287
35,2024-01-30 12:22:00,Tuesday,1,add,recommendations,,
35,2024-01-30 12:22:01,Tuesday,1,view,cart,,
35,2024-01-30 12:22:23,Tuesday,1,purchase,cart,728.27,508.5220910189287
35,2024-01-18 07:38:00,Thursday,1,view,recommendations,,
35,2024-01-18 07:38:38,Thursday,1,click,pdp,,
35,2024-01-18 07:39:01,Thursday,1,add,pdp,,
35,2024-01-18 07:39:03,Thursday,1,view,cart,,
35,2024-01-18 07:39:06,Thursday,1,purchase,cart,304.58,508.5220910189287
35,2024-01-01 10:02:00,Monday,1,view,search,,
36,2024-01-15 21:36:00,Monday,1,view,catalog,,
36,2024-01-15 21:36:49,Monday,1,add,search,,
36,2024-01-06 02:15:00,Saturday,1,view,main_page,,
36,2024-01-06 02:15:15,Saturday,1,click,pdp,,
36,2024-01-06 02:15:18,Saturday,1,add,pdp,,
36,2024-01-06 02:15:36,Saturday,1,view,cart,,
36,2024-01-06 02:16:02,Saturday,1,purchase,cart,563.72,508.5220910189287
36,2024-01-22 00:35:00,Monday,1,view,recommendations,,
37,2024-01-09 05:24:00,Tuesday,1,view,recommendations,,
37,2024-01-09 05:24:21,Tuesday,1,click,pdp,,
37,2024-01-09 05:24:34,Tuesday,1,add,pdp,,
37,2024-01-20 17:28:00,Saturday,1,add,recommendations,,
37,2024-01-20 17:28:19,Saturday,1,view,cart,,
37,2024-01-20 17:28:25,Saturday,1,purchase,cart,48.99,508.5220910189287
37,2024-01-25 01:10:00,Thursday,1,view,recommendations,,
37,2024-01-19 08:34:00,Friday,1,view,search,,
37,2024-01-19 08:34:46,Friday,1,add,pdp,,
37,2024-01-19 08:34:50,Friday,1,view,cart,,
37,2024-01-19 08:35:08,Friday,1,purchase,cart,111.37,508.5220910189287
38,2024-01-04 05:38:00,Thursday,1,view,recommendations,,
38,2024-01-04 05:38:35,Thursday,1,click,pdp,,
38,2024-01-22 04:54:00,Monday,1,view,main_page,,
38,2024-01-21 09:22:00,Sunday,1,view,main_page,,
38,2024-01-21 09:22:01,Sunday,1,click,pdp,,
38,2024-01-21 09:22:22,Sunday,1,add,pdp,,
38,2024-01-21 09:22:27,Sunday,1,view,cart,,
38,2024-01-21 09:23:04,Sunday,1,purchase,cart,846.34,508.5220910189287
38,2024-01-28 10:20:00,Sunday,1,view,main_page,,
38,2024-01-28 10:20:26,Sunday,1,click,pdp,,
39,2024-01-20 05:41:00,Saturday,1,add,pdp,,
39,2024-01-20 05:41:09,Saturday,1,view,cart,,
39,2024-01-20 05:41:39,Saturday,1,purchase,cart,818.97,508.5220910189287
39,2024-01-26 07:20:00,Friday,1,view,search,,
39,2024-01-08 16:14:00,Monday,1,view,recommendations,,
39,2024-01-08 16:14:45,Monday,1,add,catalog,,
39,2024-01-08 16:14:50,Monday,1,view,cart,,
39,2024-01-08 16:14:59,Monday,1,purchase,cart,378.57,508.5220910189287
41,2024-01-19 10:57:00,Friday,1,view,search,,
41,2024-01-19 10:57:32,Friday,1,click,pdp,,
42,2024-01-15 17:02:00,Monday,1,view,recommendations,,
42,2024-01-15 17:02:14,Monday,1,click,pdp,,
42,2024-01-15 17:02:32,Monday,1,add,pdp,,
42,2024-01-15 17:02:36,Monday,1,view,cart,,
42,2024-01-15 17:02:39,Monday,1,purchase,cart,345.68,508.5220910189287
43,2024-01-10 14:16:00,Wednesday,1,view,main_page,,
43,2024-01-10 14:16:25,Wednesday,1,click,pdp,,
43,2024-01-10 14:16:50,Wednesday,1,add,pdp,,
43,2024-01-10 14:17:02,Wednesday,1,view,cart,,
43,2024-01-10 14:17:24,Wednesday,1,purchase,cart,114.21,508.5220910189287
43,2024-01-30 22:38:00,Tuesday,1,view,catalog,,
43,2024-01-30 22:38:18,Tuesday,1,add,search,,
43,2024-01-30 22:38:26,Tuesday,1,view,cart,,
43,2024-01-30 22:38:50,Tuesday,1,purchase,cart,64.77,508.5220910189287
43,2024-01-22 21:42:00,Monday,1,click,pdp,,
43,2024-01-27 17:30:00,Saturday,1,view,recommendations,,
44,2024-01-01 23:02:00,Monday,1,view,main_page,,
44,2024-01-15 04:46:00,Monday,1,view,recommendations,,
44,2024-01-15 04:46:08,Monday,1,add,recommendations,,
44,2024-01-15 04:46:16,Monday,1,view,cart,,
44,2024-01-15 04:46:51,Monday,1,purchase,cart,545.59,508.5220910189287
44,2024-01-21 13:38:00,Sunday,1,view,main_page,,
45,2024-01-10 21:11:00,Wednesday,1,view,main_page,,
45,2024-01-20 10:15:00,Saturday,1,add,recommendations,,
45,2024-01-20 10:15:15,Saturday,1,view,cart,,
45,2024-01-20 10:15:36,Saturday,1,purchase,cart,615.3,508.5220910189287
45,2024-01-03 04:37:00,Wednesday,1,view,catalog,,
45,2024-01-03 04:37:21,Wednesday,1,click,pdp,,
45,2024-01-03 04:37:46,Wednesday,1,add,pdp,,
45,2024-01-03 04:38:03,Wednesday,1,view,cart,,
45,2024-01-03 04:38:08,Wednesday,1,purchase,cart,126.41,508.5220910189287
45,2024-01-24 04:15:00,Wednesday,1,view,recommendations,,
45,2024-01-24 04:15:56,Wednesday,1,click,pdp,,
45,2024-01-24 04:16:15,Wednesday,1,add,pdp,,
45,2024-01-24 04:16:34,Wednesday,1,view,cart,,
45,2024-01-24 04:16:54,Wednesday,1,purchase,cart,523.68,508.5220910189287
46,2024-01-06 20:30:00,Saturday,1,view,recommendations,,
46,2024-01-06 20:30:45,Saturday,1,add,pdp,,
46,2024-01-06 20:31:03,Saturday,1,view,cart,,
46,2024-01-06 20:31:32,Saturday,1,purchase,cart,1012.68,508.5220910189287
46,2024-01-25 21:44:00,Thursday,1,view,recommendations,,
46,2024-01-27 14:05:00,Saturday,1,add,pdp,,
46,2024-01-27 14:05:10,Saturday,1,view,cart,,
46,2024-01-27 14:05:24,Saturday,1,purchase,cart,565.54,508.5220910189287
46,2024-01-30 21:44:00,Tuesday,1,view,main_page,,
47,2024-01-26 18:04:00,Friday,1,view,recommendations,,
47,2024-01-26 18:04:49,Friday,1,click,pdp,,
48,2024-01-22 13:43:00,Monday,1,view,recommendations,,
48,2024-01-22 13:43:24,Monday,1,click,pdp,,
48,2024-01-22 13:43:36,Monday,1,add,pdp,,
48,2024-01-22 13:43:43,Monday,1,view,cart,,
48,2024-01-22 13:44:12,Monday,1,purchase,cart,730.72,508.5220910189287
48,2024-01-16 15:53:00,Tuesday,1,click,pdp,,
48,2024-01-16 15:53:24,Tuesday,1,add,pdp,,
48,2024-01-25 20:03:00,Thursday,1,view,catalog,,
48,2024-01-18 23:10:00,Thursday,1,view,recommendations,,
48,2024-01-18 23:10:07,Thursday,1,click,pdp,,
49,2024-01-05 02:22:00,Friday,1,view,main_page,,
49,2024-01-05 02:22:19,Friday,1,add,pdp,,
49,2024-01-05 02:22:28,Friday,1,view,cart,,
49,2024-01-05 02:22:33,Friday,1,purchase,cart,480.41,508.5220910189287
49,2024-01-07 21:54:00,Sunday,1,view,main_page,,
49,2024-01-07 21:54:34,Sunday,1,click,pdp,,
49,2024-01-07 21:54:56,Sunday,1,add,pdp,,
49,2024-01-07 21:54:58,Sunday,1,view,cart,,
49,2024-01-07 21:55:05,Sunday,1,purchase,cart,50.16,508.5220910189287
50,2024-01-22 15:56:00,Monday,1,view,recommendations,,
50,2024-01-22 15:56:48,Monday,1,click,pdp,,
50,2024-01-06 09:34:00,Saturday,1,view,recommendations,,
50,2024-01-06 09:34:32,Saturday,1,click,pdp,,
50,2024-01-28 13:26:00,Sunday,1,view,search,,
50,2024-01-02 23:02:00,Tuesday,1,view,search,,
51,2024-01-27 17:42:00,Saturday,1,view,catalog,,
51,2024-01-27 17:42:56,Saturday,1,click,pdp,,
51,2024-01-05 20:07:00,Friday,1,view,catalog,,
51,2024-01-18 09:19:00,Thursday,1,view,catalog,,
51,2024-01-03 17:42:00,Wednesday,1,view,recommendations,,
51,2024-01-03 17:42:01,Wednesday,1,add,recommendations,,
51,2024-01-03 17:42:17,Wednesday,1,view,cart,,
